step,paths_init,samples_init,paths_truncated,samples_update,paths_update,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,train_score,eval_score,avg_eval_score
0,160,160000,19,148906,160,2721.8996982559793,699.6705552420296,3302.8825742304325,-71.95668090879917,0.36014885,0.002,0.011286735534667969,0.44396471977233887,0.0009881106,0.006272353,2721.8996982559793,2721.8996982559793,4268.444712649781,4268.444712649781
1,160,160000,14,153175,160,2834.151185625559,583.5905402075268,3304.713609755039,-200.1058205664158,0.3752022,0.002,0.01024937629699707,0.44963645935058594,0.0010241115,0.0051226886,2733.1248469929374,2834.151185625559,4313.518919424383,4290.981816037081
2,160,160000,14,152301,160,2809.262826239411,597.9976590673066,3205.399975836277,-176.62920132279396,0.3673056,0.002,0.009908676147460938,0.4457693099975586,0.0010189955,0.005626988,2740.7386449175847,2809.262826239411,4313.518919424383,4290.981816037081
3,160,160000,20,149670,160,2754.5750994750765,652.7851498466032,3161.850108742714,-71.6755735874176,0.36278412,0.002,0.008239507675170898,0.43991732597351074,0.0010173188,0.0055400655,2742.122290373334,2754.5750994750765,4313.518919424383,4290.981816037081
4,160,160000,15,153736,160,2830.1514660551097,527.5954748457408,3221.732768267393,-75.75197041034698,0.34173316,0.002,0.009267568588256836,0.4461958408355713,0.0010089262,0.0059079584,2750.925207941512,2830.1514660551097,4313.518919424383,4290.981816037081
5,160,160000,23,147263,160,2718.3738898617216,760.9140232782213,3219.9888990819454,-195.93681240081787,0.35359955,0.002,0.010245800018310547,0.4310719966888428,0.0009789987,0.005581338,2747.6700761335333,2718.3738898617216,4313.518919424383,4290.981816037081
6,160,160000,24,147800,160,2724.357930316904,751.757922789361,3226.6521736979485,-194.50232821702957,0.36479178,0.002,0.011205434799194336,0.4355905055999756,0.0009714542,0.0055237636,2745.3388615518707,2724.357930316904,4313.518919424383,4290.981816037081
7,160,160000,20,149126,160,2813.6699670878706,718.789639589271,3238.509576112032,-191.5558052957058,0.35076478,0.002,0.010768890380859375,0.43570947647094727,0.0009729117,0.005436696,2752.171972105471,2813.6699670878706,4313.518919424383,4290.981816037081
8,160,160000,21,149282,160,2816.6017578450965,716.8916020760422,3266.816474109888,20.181799337267876,0.3684397,0.002,0.011096000671386719,0.43546271324157715,0.0009520622,0.005565785,2758.6149506794336,2816.6017578450965,4313.518919424383,4290.981816037081
9,160,160000,17,151338,160,2875.2887255426963,659.9030791240577,3332.049291446805,-201.9455195069313,0.32193208,0.002,0.010076761245727539,0.444211483001709,0.001003014,0.0061071552,2770.2823281657597,2875.2887255426963,4313.518919424383,4290.981816037081
10,160,160000,14,153226,160,2978.792428881023,562.6147638734168,3352.569854438305,-131.03222486376762,0.34186664,0.002,0.010087966918945312,0.44408249855041504,0.00094981794,0.005426459,2791.1333382372864,2978.792428881023,4313.518919424383,4290.981816037081
11,160,160000,15,151700,160,2941.7273839248346,648.3296257045267,3385.6675786972046,-182.82997342944145,0.29874107,0.002,0.010332822799682617,0.44497156143188477,0.00097490265,0.006840896,2806.192742806041,2941.7273839248346,4313.518919424383,4290.981816037081
12,160,160000,22,147570,160,2861.2482885732084,780.7371471968162,3334.795764774084,-166.96917307376862,0.32148373,0.002,0.010280609130859375,0.43280529975891113,0.0009887095,0.006205082,2811.698297382758,2861.2482885732084,4313.518919424383,4290.981816037081
13,160,160000,24,148370,160,2905.182635144726,720.69942531645,3394.4883605986834,-15.380484610795975,0.35777035,0.002,0.010755538940429688,0.4407501220703125,0.0009761692,0.005206365,2821.0467311589546,2905.182635144726,4313.518919424383,4290.981816037081
14,160,160000,16,150823,160,3000.931378148217,701.7516458978198,3459.1170465946198,-177.98185151815414,0.36491424,0.002,0.009502172470092773,0.4437408447265625,0.00095834833,0.0052150264,2839.035195857881,3000.931378148217,4313.518919424383,4290.981816037081
15,160,160000,20,148144,160,2953.563152471138,796.715319961271,3390.562935113907,-195.63989755511284,0.37600723,0.002,0.009655475616455078,0.43265604972839355,0.00094713055,0.00502586,2850.4879915192064,2953.563152471138,4313.518919424383,4290.981816037081
16,160,160000,21,151175,160,3058.167622590624,618.3082885746713,3513.073327437043,-121.90254846215248,0.3737114,0.002,0.010142326354980469,0.44253039360046387,0.0008905325,0.004900083,2871.255954626348,3058.167622590624,4313.518919424383,4290.981816037081
17,160,160000,32,143850,160,2906.2577898094896,893.1210070417569,3562.04591268301,-146.55220448970795,0.39066052,0.002,0.010314464569091797,0.4221377372741699,0.0009231362,0.004869405,2874.7561381446617,2906.2577898094896,4313.518919424383,4290.981816037081
18,160,160000,26,143990,160,2926.7632349316495,899.6542652300477,3567.4715896248817,-153.01217710971832,0.3762786,0.002,0.010919809341430664,0.42444443702697754,0.00093467865,0.0048159882,2879.9568478233605,2926.7632349316495,4313.518919424383,4290.981816037081
19,160,160000,29,145021,160,2969.2431406409014,875.479312347348,3542.108419522643,-58.59789592027664,0.40107825,0.002,0.010350465774536133,0.4273655414581299,0.00092339126,0.0047174618,2888.8854771051147,2969.2431406409014,4313.518919424383,4290.981816037081
20,160,160000,20,150405,160,3130.2902195112315,706.0382833078102,3563.9182335734367,41.271345406770706,0.4133277,0.002,0.009495735168457031,0.4386413097381592,0.00092733506,0.0044809803,2913.0259513457263,3130.2902195112315,4313.518919424383,4290.981816037081
21,160,160000,30,141398,160,2952.239606994996,1008.8663194354309,3624.8732913285494,-199.52261781692505,0.3770745,0.002,0.010220527648925781,0.41549015045166016,0.00093350915,0.0049017034,2916.947316910653,2952.239606994996,4313.518919424383,4290.981816037081
22,160,160000,26,148315,160,3109.1602975053247,749.5918494644638,3621.199225127697,-183.08272942900658,0.39628616,0.002,0.009822845458984375,0.4377725124359131,0.0009009541,0.004737083,2936.168614970121,3109.1602975053247,4313.518919424383,4290.981816037081
23,160,160000,28,144110,160,3049.215411584126,976.9605494897064,3628.316080659628,-200.71618354320526,0.41321546,0.002,0.009943008422851562,0.4219517707824707,0.0009230664,0.0046448037,2947.4732946315216,3049.215411584126,4313.518919424383,4290.981816037081
24,160,160000,35,141812,160,3009.1636811008675,957.9461229465178,3682.6384886205196,-191.1702480018139,0.40623248,0.002,0.0098724365234375,0.41654229164123535,0.0009194185,0.004608441,2953.642333278456,3009.1636811008675,4313.518919424383,4290.981816037081
25,160,160000,27,147888,160,3168.8878041333055,780.7887274377134,3717.5664286613464,-189.1867155134678,0.3619487,0.002,0.010089397430419922,0.4325137138366699,0.0009402845,0.005683936,2975.1668803639413,3168.8878041333055,4313.518919424383,4290.981816037081
26,160,160000,26,148398,160,3213.056447601039,783.0458407774231,3720.4308027625084,-24.014895379543304,0.4121082,0.002,0.009365081787109375,0.4367995262145996,0.0009014317,0.004573386,2998.955837087651,3213.056447601039,4313.518919424383,4290.981816037081
27,160,160000,22,148417,160,3190.1582039755535,835.08743012629,3741.8632004857063,-185.01733320951462,0.3242468,0.002,0.010339975357055664,0.43469953536987305,0.0009751089,0.0069049336,3018.0760737764413,3190.1582039755535,4313.518919424383,4290.981816037081
28,160,160000,15,153390,160,3370.181853260938,602.9744836073762,3775.450527101755,108.82313534617424,0.33668354,0.002,0.009716033935546875,0.4463484287261963,0.0009790198,0.005500909,3053.286651724891,3370.181853260938,4313.518919424383,4290.981816037081
29,160,160000,24,146795,160,3202.009340806538,880.7108026260229,3750.543870538473,-171.78904536366463,0.2872164,0.002,0.009776115417480469,0.43196558952331543,0.0009812615,0.007383287,3068.158920633056,3202.009340806538,4313.518919424383,4290.981816037081
30,160,160000,29,143958,160,3142.1662992815254,976.966716785011,3733.2141380906105,-180.16062211990356,0.300497,0.002,0.009775400161743164,0.42084717750549316,0.0009795423,0.0064846575,3075.559658497903,3142.1662992815254,4313.518919424383,4290.981816037081
31,160,160000,19,150239,160,3320.5426048721188,773.7776501753481,3817.332738816738,-167.7323550581932,0.35517585,0.002,0.009725570678710938,0.4433112144470215,0.0009719889,0.0053531714,3100.057953135325,3320.5426048721188,4313.518919424383,4290.981816037081
32,160,160000,27,146900,160,3254.7641521815212,838.2077826357213,3787.9342608749866,-193.65883991122246,0.36334908,0.002,0.010687112808227539,0.4318361282348633,0.0009188363,0.0049161315,3115.5285730399446,3254.7641521815212,4313.518919424383,4290.981816037081
