step,paths_init,samples_init,paths_truncated,samples_update,paths_update,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,train_score,eval_score,avg_eval_score
0,160,160000,2,159101,160,2790.42456781246,434.8060800343565,3371.8070098757744,1015.2818953841925,1.8407621,0.02,0.012892007827758789,0.5166037082672119,0.008435031,0.017977588,2790.42456781246,2790.42456781246,4333.298574816027,4333.298574816027
1,160,160000,7,156804,160,2839.7768088920857,524.5658500564277,3423.082120835781,49.98208846151829,1.8643974,0.02,0.00947260856628418,0.36057066917419434,0.008491929,0.013026741,2795.359791920422,2839.7768088920857,4325.575338011224,4329.436956413625
2,160,160000,1,159163,160,2995.826929222606,332.72397033735416,3477.068699091673,254.27505253255367,1.8137109,0.02,0.009274959564208984,0.36176538467407227,0.008430297,0.010778265,2815.4065056506406,2995.826929222606,4325.575338011224,4329.436956413625
3,160,160000,4,158098,160,2985.154879274708,451.90432130772945,3457.744537100196,687.4539088308811,1.644278,0.02,0.009142875671386719,0.35973215103149414,0.007959269,0.013597194,2832.3813430130476,2985.154879274708,4325.575338011224,4329.436956413625
4,160,160000,2,159614,160,3063.886959876283,286.32843032155887,3480.25748154521,1683.5745469778776,1.6115097,0.02,0.010136127471923828,0.36020469665527344,0.008044418,0.0139942635,2855.531904699371,3063.886959876283,4325.575338011224,4329.436956413625
5,160,160000,1,159988,160,3086.6807168491187,368.54183851582025,3502.1088096499443,796.8366198576987,1.6868454,0.02,0.009312868118286133,0.35999393463134766,0.007980716,0.013244567,2878.646785914346,3086.6807168491187,4325.575338011224,4329.436956413625
6,160,160000,0,160000,160,3187.0612927654993,234.75588167861756,3672.414207562804,1659.1584383770823,1.7859035,0.02,0.00903630256652832,0.3598666191101074,0.0077826767,0.011392733,2909.4882365994617,3187.0612927654993,4325.575338011224,4329.436956413625
7,160,160000,0,160000,160,3213.0277256345607,315.57429963707557,3644.887026153505,1063.5726680867374,1.5327264,0.02,0.009792566299438477,0.36179256439208984,0.008256039,0.01487083,2939.842185502972,3213.0277256345607,4325.575338011224,4329.436956413625
8,160,160000,1,159164,160,3237.8109606870917,334.5430346954225,3641.6664958298206,234.48578661680222,1.6344239,0.02,0.009418010711669922,0.36106419563293457,0.007911131,0.012097394,2969.639063021384,3237.8109606870917,4325.575338011224,4329.436956413625
9,160,160000,0,160000,160,3313.014229964302,171.97422448910137,3646.741384729743,2314.3579815477133,1.7751971,0.02,0.008873224258422852,0.35874056816101074,0.00768354,0.011460543,3003.976579715676,3313.014229964302,4325.575338011224,4329.436956413625
10,160,160000,0,160000,160,3342.1552637018963,293.5277139886065,3747.0718304365873,1119.255889005959,1.6720155,0.02,0.009076595306396484,0.3614509105682373,0.007466477,0.013798855,3037.794448114298,3342.1552637018963,4325.575338011224,4329.436956413625
11,160,160000,1,159673,160,3404.0600559599234,231.8540567116698,3778.820819914341,1759.9393237531185,1.814624,0.02,0.008972883224487305,0.3619651794433594,0.0071372055,0.011322761,3074.421008898861,3404.0600559599234,4325.575338011224,4329.436956413625
12,160,160000,1,159940,160,3469.4428438888162,169.39532762181727,3801.365982323885,2707.9492402002215,1.8672128,0.02,0.00901937484741211,0.3627586364746094,0.0069799586,0.0105481,3113.923192397857,3469.4428438888162,4325.575338011224,4329.436956413625
13,160,160000,0,160000,160,3521.0321734972763,222.29497373304156,3867.985599592328,1683.120238520205,1.5952628,0.02,0.009146928787231445,0.3591420650482178,0.007101774,0.013788361,3154.6340905077986,3521.0321734972763,4325.575338011224,4329.436956413625
